ShipmentPointnumber,ShipmentPointName,House,PostalCode,City,Country,Region
756,Rock Hill DC,996 Paragon Way,29730-0007,ROCK HILL,US,SC
A419,South China DC,Room 501 ZTY International Par,518014,Shenzhen,CN,

